site,informant,management,potential_rank
Nasiger,NAS1,Monitor and inventor,4
Nasiger,NAS2,Monitor and inventor,4
Nasiger,NAS3,Monitor and inventor,2
Nasiger,NAS4,Monitor and inventor,1
Nasiger,NAS5,Monitor and inventor,2
Nasiger,NAS6,Monitor and inventor,3
Nasiger,NAS7,Monitor and inventor,1
Nasiger,NAS8,Monitor and inventor,1
Nasiger,NAS9,Monitor and inventor,3
Nasiger,NAS10,Monitor and inventor,3
Nasiger,NAS11,Monitor and inventor,4
Nasiger,NAS12,Monitor and inventor,4
Nasiger,NAS13,Monitor and inventor,3
Nasiger,NAS14,Monitor and inventor,3
Nasiger,NAS1,Establish protected areas,3
Nasiger,NAS2,Establish protected areas,3
Nasiger,NAS3,Establish protected areas,4
Nasiger,NAS4,Establish protected areas,6
Nasiger,NAS5,Establish protected areas,4
Nasiger,NAS6,Establish protected areas,4
Nasiger,NAS7,Establish protected areas,4
Nasiger,NAS8,Establish protected areas,5
Nasiger,NAS9,Establish protected areas,6
Nasiger,NAS10,Establish protected areas,4
Nasiger,NAS11,Establish protected areas,5
Nasiger,NAS12,Establish protected areas,6
Nasiger,NAS13,Establish protected areas,5
Nasiger,NAS14,Establish protected areas,3
Nasiger,NAS1,Prohibit charcoal burning,7
Nasiger,NAS2,Prohibit charcoal burning,8
Nasiger,NAS3,Prohibit charcoal burning,4
Nasiger,NAS4,Prohibit charcoal burning,6
Nasiger,NAS5,Prohibit charcoal burning,8
Nasiger,NAS6,Prohibit charcoal burning,7
Nasiger,NAS7,Prohibit charcoal burning,8
Nasiger,NAS8,Prohibit charcoal burning,3
Nasiger,NAS9,Prohibit charcoal burning,8
Nasiger,NAS10,Prohibit charcoal burning,7
Nasiger,NAS11,Prohibit charcoal burning,8
Nasiger,NAS12,Prohibit charcoal burning,5
Nasiger,NAS13,Prohibit charcoal burning,4
Nasiger,NAS14,Prohibit charcoal burning,3
Nasiger,NAS1,Create public awareness on WEPs,7
Nasiger,NAS2,Create public awareness on WEPs,4
Nasiger,NAS3,Create public awareness on WEPs,5
Nasiger,NAS4,Create public awareness on WEPs,6
Nasiger,NAS5,Create public awareness on WEPs,5
Nasiger,NAS6,Create public awareness on WEPs,4
Nasiger,NAS7,Create public awareness on WEPs,6
Nasiger,NAS8,Create public awareness on WEPs,5
Nasiger,NAS9,Create public awareness on WEPs,6
Nasiger,NAS10,Create public awareness on WEPs,6
Nasiger,NAS11,Create public awareness on WEPs,3
Nasiger,NAS12,Create public awareness on WEPs,8
Nasiger,NAS13,Create public awareness on WEPs,3
Nasiger,NAS14,Create public awareness on WEPs,4
Nasiger,NAS1,Cultivate WEPs,9
Nasiger,NAS2,Cultivate WEPs,7
Nasiger,NAS3,Cultivate WEPs,9
Nasiger,NAS4,Cultivate WEPs,8
Nasiger,NAS5,Cultivate WEPs,6
Nasiger,NAS6,Cultivate WEPs,6
Nasiger,NAS7,Cultivate WEPs,5
Nasiger,NAS8,Cultivate WEPs,5
Nasiger,NAS9,Cultivate WEPs,8
Nasiger,NAS10,Cultivate WEPs,6
Nasiger,NAS11,Cultivate WEPs,7
Nasiger,NAS12,Cultivate WEPs,7
Nasiger,NAS13,Cultivate WEPs,9
Nasiger,NAS14,Cultivate WEPs,8
Nasiger,NAS1,Preserve local knowledge about the WEPs,7
Nasiger,NAS2,Preserve local knowledge about the WEPs,7
Nasiger,NAS3,Preserve local knowledge about the WEPs,7
Nasiger,NAS4,Preserve local knowledge about the WEPs,8
Nasiger,NAS5,Preserve local knowledge about the WEPs,9
Nasiger,NAS6,Preserve local knowledge about the WEPs,11
Nasiger,NAS7,Preserve local knowledge about the WEPs,12
