site,informant,threat,rank_threat
Nasiger,NAS1,Agricultural expansion,2
Nasiger,NAS2,Agricultural expansion,2
Nasiger,NAS3,Agricultural expansion,1
Nasiger,NAS4,Agricultural expansion,2
Nasiger,NAS5,Agricultural expansion,1
Nasiger,NAS6,Agricultural expansion,2
Nasiger,NAS7,Agricultural expansion,1
Nasiger,NAS8,Agricultural expansion,1
Nasiger,NAS9,Agricultural expansion,1
Nasiger,NAS10,Agricultural expansion,2
Nasiger,NAS11,Agricultural expansion,3
Nasiger,NAS12,Agricultural expansion,3
Nasiger,NAS13,Agricultural expansion,1
Nasiger,NAS14,Agricultural expansion,1
Nasiger,NAS1,Overstocking/overgrazing,7
Nasiger,NAS2,Overstocking/overgrazing,3
Nasiger,NAS3,Overstocking/overgrazing,4
Nasiger,NAS4,Overstocking/overgrazing,4
Nasiger,NAS5,Overstocking/overgrazing,4
Nasiger,NAS6,Overstocking/overgrazing,5
Nasiger,NAS7,Overstocking/overgrazing,4
Nasiger,NAS8,Overstocking/overgrazing,5
Nasiger,NAS9,Overstocking/overgrazing,6
Nasiger,NAS10,Overstocking/overgrazing,5
Nasiger,NAS11,Overstocking/overgrazing,4
Nasiger,NAS12,Overstocking/overgrazing,6
Nasiger,NAS13,Overstocking/overgrazing,5
Nasiger,NAS14,Overstocking/overgrazing,3
Nasiger,NAS1,Fuelwood collection/charcoal burning,4
Nasiger,NAS2,Fuelwood collection/charcoal burning,1
Nasiger,NAS3,Fuelwood collection/charcoal burning,2
Nasiger,NAS4,Fuelwood collection/charcoal burning,5
Nasiger,NAS5,Fuelwood collection/charcoal burning,4
Nasiger,NAS6,Fuelwood collection/charcoal burning,4
Nasiger,NAS7,Fuelwood collection/charcoal burning,3
Nasiger,NAS8,Fuelwood collection/charcoal burning,5
Nasiger,NAS9,Fuelwood collection/charcoal burning,4
Nasiger,NAS10,Fuelwood collection/charcoal burning,5
Nasiger,NAS11,Fuelwood collection/charcoal burning,2
Nasiger,NAS12,Fuelwood collection/charcoal burning,1
Nasiger,NAS13,Fuelwood collection/charcoal burning,1
Nasiger,NAS14,Fuelwood collection/charcoal burning,2
Nasiger,NAS1,Uncontrolled fire,3
Nasiger,NAS2,Uncontrolled fire,1
Nasiger,NAS3,Uncontrolled fire,1
Nasiger,NAS4,Uncontrolled fire,4
Nasiger,NAS5,Uncontrolled fire,2
Nasiger,NAS6,Uncontrolled fire,3
Nasiger,NAS7,Uncontrolled fire,2
Nasiger,NAS8,Uncontrolled fire,4
Nasiger,NAS9,Uncontrolled fire,3
Nasiger,NAS10,Uncontrolled fire,2
Nasiger,NAS11,Uncontrolled fire,4
Nasiger,NAS12,Uncontrolled fire,4
Nasiger,NAS13,Uncontrolled fire,4
Nasiger,NAS14,Uncontrolled fire,3
Nasiger,NAS1,Selective harvesting/Overharvesting,2
Nasiger,NAS2,Selective harvesting/Overharvesting,5
Nasiger,NAS3,Selective harvesting/Overharvesting,5
Nasiger,NAS4,Selective harvesting/Overharvesting,6
Nasiger,NAS5,Selective harvesting/Overharvesting,2
Nasiger,NAS6,Selective harvesting/Overharvesting,5
Nasiger,NAS7,Selective harvesting/Overharvesting,2
Nasiger,NAS8,Selective harvesting/Overharvesting,2
Nasiger,NAS9,Selective harvesting/Overharvesting,4
Nasiger,NAS10,Selective harvesting/Overharvesting,2
Nasiger,NAS11,Selective harvesting/Overharvesting,5
Nasiger,NAS12,Selective harvesting/Overharvesting,7
Nasiger,NAS13,Selective harvesting/Overharvesting,7
Nasiger,NAS14,Selective harvesting/Overharvesting,7
Nasiger,NAS1,Invasive species,6
Nasiger,NAS2,Invasive species,6
Nasiger,NAS3,Invasive species,8
Nasiger,NAS4,Invasive species,4
Nasiger,NAS5,Invasive species,7
Nasiger,NAS6,Invasive species,9
Nasiger,NAS7,Invasive species,7
Nasiger,NAS8,Invasive species,7
Nasiger,NAS9,Invasive species,6
Nasiger,NAS10,Invasive species,4
Nasiger,NAS11,Invasive species,8
Nasiger,NAS12,Invasive species,8
Nasiger,NAS13,Invasive species,4
Nasiger,NAS14,Invasive species,4
Nasiger,NAS1,Climate change,10
Nasiger,NAS2,Climate change,10
Nasiger,NAS3,Climate change,6
Nasiger,NAS4,Climate change,6
Nasiger,NAS5,Climate change,6
Nasiger,NAS6,Climate change,8
Nasiger,NAS7,Climate change,7
Nasiger,NAS8,Climate change,10
Nasiger,NAS9,Climate change,10
Nasiger,NAS10,Climate change,7
Nasiger,NAS11,Climate change,8
Nasiger,NAS12,Climate change,10
Nasiger,NAS13,Climate change,10
Nasiger,NAS14,Climate change,9
Nasiger,NAS1,Infrastructural development,2
Nasiger,NAS2,Infrastructural development,3
Nasiger,NAS3,Infrastructural development,3
Nasiger,NAS4,Infrastructural development,2
Nasiger,NAS5,Infrastructural development,1
Nasiger,NAS6,Infrastructural development,3
Nasiger,NAS7,Infrastructural development,2
Nasiger,NAS8,Infrastructural development,2
Nasiger,NAS9,Infrastructural development,2
Nasiger,NAS10,Infrastructural development,3
Nasiger,NAS11,Infrastructural development,3
Nasiger,NAS12,Infrastructural development,2
Nasiger,NAS13,Infrastructural development,2
Nasiger,NAS14,Infrastructural development,1
Nasiger,NAS1,Pests and diseases,2
Nasiger,NAS2,Pests and diseases,2
Nasiger,NAS3,Pests and diseases,3
Nasiger,NAS4,Pests and diseases,3
Nasiger,NAS5,Pests and diseases,3
Nasiger,NAS6,Pests and diseases,2
Nasiger,NAS7,Pests and diseases,1
Nasiger,NAS8,Pests and diseases,3
Nasiger,NAS9,Pests and diseases,3
Nasiger,NAS10,Pests and diseases,1
Nasiger,NAS11,Pests and diseases,1
Nasiger,NAS12,Pests and diseases,2
Nasiger,NAS13,Pests and diseases,3
Nasiger,NAS14,Pests and diseases,1
Nasiger,NAS1,Others,1
Nasiger,NAS2,Others,1
Nasiger,NAS3,Others,1
Nasiger,NAS4,Others,1
Nasiger,NAS5,Others,2
Nasiger,NAS6,Others,1
Nasiger,NAS7,Others,1
Nasiger,NAS8,Others,1
Nasiger,NAS9,Others,1
Nasiger,NAS10,Others,2
Nasiger,NAS11,Others,1
Nasiger,NAS12,Others,1
Nasiger,NAS13,Others,1
Nasiger,NAS14,Others,1
Atala Kamusio,ATA1,Agricultural expansion,4
Atala Kamusio,ATA2,Agricultural expansion,3
Atala Kamusio,ATA3,Agricultural expansion,2
Atala Kamusio,ATA4,Agricultural expansion,4
Atala Kamusio,ATA5,Agricultural expansion,3
Atala Kamusio,ATA6,Agricultural expansion,2
Atala Kamusio,ATA7,Agricultural expansion,3
Atala Kamusio,ATA8,Agricultural expansion,1
Atala Kamusio,ATA9,Agricultural expansion,4
Atala Kamusio,ATA10,Agricultural expansion,3
Atala Kamusio,ATA11,Agricultural expansion,4
Atala Kamusio,ATA12,Agricultural expansion,1
Atala Kamusio,ATA13,Agricultural expansion,3
Atala Kamusio,ATA14,Agricultural expansion,1
Atala Kamusio,ATA1,Overstocking/overgrazing,8
Atala Kamusio,ATA2,Overstocking/overgrazing,7
